"CountryCode","Country","ItemCode","Item","ElementGroup","ElementCode","Element","Year","Unit","Value","Flag"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1998","%","5.570","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1999","%","5.770","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2000","%","5.430","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2001","%","5.370","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2002","%","5.260","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2003","%","5.300","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2004","%","5.200","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2005","%","4.750","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2006","%","4.770","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2007","%","4.840","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2008","%","4.660","Fc"
"216","Thailand","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2009","%","4.520","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1990","%","0.000","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1991","%","0.000","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1992","%","71.930","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1993","%","77.560","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1994","%","72.050","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1995","%","69.050","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1996","%","68.690","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1997","%","67.500","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1998","%","57.720","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1999","%","56.440","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2000","%","63.930","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2001","%","65.490","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2002","%","64.720","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2003","%","58.050","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2004","%","54.240","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2005","%","52.230","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2006","%","52.640","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2007","%","61.210","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2008","%","67.020","Fc"
"154","The former Yugoslav Republic of Macedonia","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2009","%","62.130","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1990","%","5.080","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1991","%","4.310","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1992","%","3.760","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1993","%","3.220","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1994","%","8.630","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1995","%","9.440","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1996","%","5.590","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1997","%","4.490","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1998","%","3.910","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1999","%","2.950","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2000","%","3.550","Fc"
"154","The former Yugoslav Republic of Macedonia","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2001","%","4.010","Fc"
