code3,typeName,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KEN,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1200,80,80,0,0,0,0,0,0,0,0,2,2,10,33,63,85,8774,9327,9390,9570,6046,6138,2373,2559,3098,3163,3847,4640,5357,7546,9688,9620,8602,8745,8950,8586,8553,7906,7506
SOM,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,50,60,90,90,134,34,118,39,639,1830,3142,60162,351993,360309,470174,732594,797120,574617,631426,638698,636985,608094,557959,524613,475655,440134,432316,402336,389300,395553,464037,457356,561155,678309,770154,1077048,1136719,1121770,1106434,1123156,1012277
PSE,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,9800,9110,0,31642,52704,2004,5014,8041,8521,65177,95343,81474,82564,72768,80215,76821,77524,100602,110640,349161,428782,350568,349831,349673,334142,341237,340016,95201,93323,94150,94918,96044,97212,98018,97749
BEN,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,200,200,0,0,0,0,0,0,50,50,50,62,2,4,4,68,77,54,46,46,56,52,54,55,232,282,309,411,215,271,318,411,442,461,457,302,340,412,464
CYP,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,6,9,10,8,11,16,11,5,7,5,2,5,5,9,10,11,13,11,11,10,10,4,0
PHL,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,92000,90000,90000,90000,90000,100000,100000,90000,90000,90000,90000,90000,10,15,46,113,436,516,598,525,45598,45520,45482,45467,45608,412,434,465,886,1552,1354,993,970,952,986,724,670,593,421
NIC,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144800,16600,960,2500,18970,23520,35020,52650,67550,68540,86565,97700,52618,46789,44275,33052,28591,23938,22820,22494,21389,20573,5071,4399,4050,3983,1821,1463,1828,1900,1537,1478,1431,1468,1531,1538,1587,1476,1409
EGY,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2,4,5,6,6,7,8,8,14,13,48,97,209,258,502,872,1202,1722,2612,3491,3953,4678,6443,5735,5371,6291,7613,6799,6780,6990,6913,7936,10020,12810,15903,17926,19742
DOM,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,29,30,29,47,42,45,47,46,83,92,97,67,150,358,318,230,246,250,289,306,349,382,344
IDN,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,150,2200,1230,11020,11800,11340,9680,9301,7776,7169,6164,6829,7924,8726,9836,11365,8799,9053,9020,9149,8970,9906,16240,27919,34384,34728,20558,19345,18213,16892,16079,15523,14786,14408,13956,13046
