code3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ETH,3,,,,,,,,,,,,1,0,0,0,0
GEO,30,15,23,28,8,16,3,4,8,4,7,1,1,0,0,0,*
GIN,3,3,3,3,,,,,,,,,,,0,,
IND,2,2,3,2,,,,0,,,,,,,,,
IRN,1,1,1,4,,1,1,0,6,8,0,4,0,3,0,4,*
IRQ,2,7,12,13,5,,,2,1,0,,2,0,1,0,23,*
KAZ,1,1,1,1,,,,1,0,1,0,0,,,,1,0
LKA,1,3,1,1,,,,0,0,0,,,1,0,0,3,
MDG,3,2,2,2,,,,,,1,0,,,,,,
NGA,1,3,1,1,,,,,,,0,,,,,,
PAK,19,17,17,20,,,,,0,2,0,1,0,3,1,3,*
,19,19,19,19,,,,,,,,,,,0,,
SYR,3,3,2,2,3,1,,0,,0,,,11,25,48,7,9
TCD,1,1,1,1,,,,,,,,,,,,,
TJK,35,18,13,13,,,,0,,1,0,,0,0,0,1,9
YEM,1,,,,,,,,,,,,,0,,14,*
ETH,4,1,,,,,,,,,,,,,,,
GHA,1,,1,2,2,,,,,,,,,,,,
GIN,1,,,,,,,,,,,,,,,,
NGA,12,9,8,2,,,,,,,,,,,,,
SYR,15,,,,,,,,,,,,,0,,,
,1,,,,,,,,,,,,,,,,0
ZWE,1,,1,4,1,,,,,,,,,,,,
PER,2,3,2,,2,1,,1,5,0,3,0,,0,1,0,0
RUS,1,,,,,,,,,,,,,,0,0,0
AGO,206,193,126,80,88,13,14,10,5,1,17,23,27,42,113,1164,2425
CHN,5,,2,2,,2,1,6,9,,4,3,4,9,27,345,662
COD,8,16,13,24,39,29,47,46,111,30,12,35,96,146,448,948,819
COL,5,23,42,26,8,42,69,81,93,38,16,106,243,110,171,181,237
CUB,2,7,25,37,36,35,45,68,54,17,29,42,46,74,232,743,2071
GNB,10,10,60,35,30,,11,12,14,1,6,86,148,170,416,272,359
GUY,1,1,1,1,1,,,,,,,1,0,,3,7,9
IDN,1,1,,,,,,,,,,,,,,2,*
IRN,2,3,6,6,3,1,1,1,1,,1,2,2,25,38,70,76
IRQ,4,14,11,12,6,14,11,16,19,7,6,10,8,14,55,114,143
KEN,2,2,3,3,3,,,,4,1,1,1,,11,20,34,42
LBN,1,,,,,1,109,17,9,1,0,4,20,313,481,876,975
LBR,3,4,30,37,27,2,2,3,5,1,1,1,1,1,5,8,9
LBY,2,2,2,2,2,,,,,,,6,5,5,7,15,16
MAR,1,,4,2,1,1,2,3,2,,0,3,1,4,21,114,161
NGA,7,15,4,19,24,1,1,6,4,1,15,62,75,153,1232,2081,2358
PAK,12,15,2,2,2,,,,2,4,29,68,70,92,463,853,997
PER,2,13,8,11,37,16,15,7,5,,1,10,7,10,17,13,14
PSE,1,2,1,2,2,,,6,4,2,4,3,10,13,95,167,130
ROU,241,245,139,155,21,4,10,0,1,,,,1,0,2,4,*
RWA,2,4,5,7,6,1,,1,0,,,0,1,1,2,2,*
SDN,2,,1,1,6,1,2,1,2,3,6,16,15,24,33,31,36
SLE,14,53,18,9,10,,,2,5,1,2,7,5,25,84,170,193
