code3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FRA,,,,,,,,,,1,1,1,1,1,1,1,
GAB,,,,,,,,,,3,0,,3,3,3,3,
VNM,,,,,,,,,,1,1,1,1,1,1,1,0
EGY,,,,,,,,,,0,,,,,,,
IRN,,,,,,,,,,0,,,1,1,0,0,0
TZA,,,,,,,,,,7,7,6,7,8,7,1,*
SLV,,,,,,,,,,7,0,,,,0,5,*
ARG,,,,,,,,,,0,,,,2,1,2,
BGD,,,,,,,,,,0,0,4,0,0,5,20,17
GIN,,,,,,,,,,1,0,,,,0,,*
ITA,,,,,,,,,,0,,1,1,1,1,2,*
JPN,,,,,,,,,,2,0,,,,,,
MEX,,,,,,,,,,0,2,1,3,5,5,8,12
NLD,,,,,,,,,,0,,,,,,,
,,,,,,,,,,2,1,0,,,,,
CHN,,,,,,,,,,0,,,,,,,
KAZ,,,,,,,,,,0,,,,,,,
AFG,,,,,,,,,,3,3,0,,,0,0,0
CUB,,,,,,,,,,1,1,1,0,5,2,0,24
BEN,,,,,,,,,,2,3,1,0,,,,
SAU,,,,,,,,,,1,0,,0,,,,
TGO,,,,,,,,,,1,7,2,0,11,8,3,*
ALB,,,,,,,,,,1,1,,1,0,0,0,0
GNB,,,,,,,,,,0,,0,,,1,2,
HRV,,,,,,,,,,1,3,0,0,,0,2,0
HTI,,,,,,,,,,0,,0,,,,,
NER,,,,,,,,,,0,35,,1,1,1,1,*
PSE,,,,,,,,,,2,1,,,,0,0,0
LUX,,,,,,,,,,1,1,1,0,,1,0,0
SWZ,,,,,,,,,,0,,,,1,2,1,*
SYC,,,,,,,,,,1,1,1,1,1,2,0,0
MDG,,,,,,,,,,1,1,1,1,1,2,1,*
PHL,,,,,,,,,,2,0,,,,0,0,0
CYP,,,,,,,,,,0,,,,,,,
DOM,,,,,,,,,,1,2,0,,,1,,
FRA,,,,,,,,,,0,1,0,0,0,,,
SWZ,,,,,,,,,,0,,,0,,,,
BDI,,,,,,,,,,0,,,4,5,0,0,0
YEM,,,,,,,,,,0,,,6,1,1,41,136
ZWE,,,,,,,,,,0,0,,,,,,
BEL,,,,,,,,,,1,1,0,,,,,
BEN,,,,,,,,,,1,4,0,0,,,,
BWA,,,,,,,,,,3,4,0,,,,,
CAN,,,,,,,,,,1,4,2,0,,,,
,,,,,,,,,,1,1,0,,,,,
HRV,,,,,,,,,,1,0,,,,,,
ISR,,,,,,,,,,4,6,0,,,,,
KGZ,,,,,,,,,,0,,,,,0,0,
KHM,,,,,,,,,,1,3,1,0,,,,
MRT,,,,,,,,,,1,2,0,,,,,
MYS,,,,,,,,,,1,0,,,1,,,
PRT,,,,,,,,,,2,2,0,,,,,
ROU,,,,,,,,,,1,1,0,,0,,,
SLV,,,,,,,,,,1,2,0,1,0,0,,
TZA,,,,,,,,,,3,3,0,,,,,
YEM,,,,,,,,,,1,1,0,,,,,
COM,,,,,,,,,,1,1,1,1,1,0,2,*
GNB,,,,,,,,,,0,1,3,6,4,4,4,
PHL,,,,,,,,,,1,1,1,,1,0,0,0
ROU,,,,,,,,,,2,2,2,2,2,0,,
BWA,,,,,,,,,,0,,,,1,1,,
CHE,,,,,,,,,,0,,,,,,,
,,,,,,,,,,0,,,,,0,,
KWT,,,,,,,,,,0,,,,,0,,
TKM,,,,,,,,,,0,0,0,0,,,,5
URY,,,,,,,,,,0,,0,,0,0,,5
COD,,,,,,,,,,1,0,0,0,,1,1,
MNG,,,,,,,,,,0,,,,,,,
UGA,,,,,,,,,,0,,,,,0,0,0
USA,,,,,,,,,,0,,,,0,,,
,,,,,,,,,,0,2,0,,,0,0,0
,,,,,,,,,,2,0,1,0,1,1,1,*
GIN,,,,,,,,,,1,1,1,0,,,,
BEL,,,,,,,,,,0,,,,,,,
BEN,,,,,,,,,,0,0,0,2,1,0,0,0
ECU,,,,,,,,,,0,,,0,,0,0,0
FRA,,,,,,,,,,0,,,0,,0,,
GAB,,,,,,,,,,0,,,,0,2,,
JAM,,,,,,,,,,1,0,,,1,0,,
,,,,,,,,,,0,,1,0,,0,,
YEM,,,,,,,,,,2,3,2,0,0,2,54,36
AFG,,,,,,,,,,3,3,0,7,7,1,1,0
DMA,,,,,,,,,,0,,0,0,1,1,0,0
GNQ,,,,,,,,,,0,,0,0,3,9,15,6
GUY,,,,,,,,,,0,0,0,0,17,9,20,0
HUN,,,,,,,,,,0,,0,,,0,0,0
,,,,,,,,,,0,0,0,0,8,12,18,*
MEX,,,,,,,,,,0,0,0,0,7,6,7,0
ATG,,,,,,,,,,0,0,0,0,1,2,2,*
BRB,,,,,,,,,,0,0,2,1,3,5,8,7
COK,,,,,,,,,,0,,,,,0,0,0
GNQ,,,,,,,,,,0,0,1,2,0,1,1,*
HND,,,,,,,,,,0,0,1,14,5,12,5,*
KHM,,,,,,,,,,0,,,,0,0,1,*
MDV,,,,,,,,,,0,0,,0,0,1,18,18
NZL,,,,,,,,,,0,,,,,0,2,*
SVK,,,,,,,,,,0,0,0,0,0,1,2,*
URY,,,,,,,,,,0,0,0,,,0,1,
PAK,,,,,,,,,,0,0,,1,1,1,13,8
UKR,,,,,,,,,,1,0,,1,2,355,36,14
UZB,,,,,,,,,,2,4,0,0,1,2,9,0
IRQ,,,,,,,,,,7,7,8,13,3,3,3,0
SDN,,,,,,,,,,1,0,0,,,,,
,,,,,,,,,,44,49,0,0,0,0,0,0
COD,,,,,,,,,,14,15,3,0,0,0,0,0
GNB,,,,,,,,,,4,4,1,0,,0,0,0
IRQ,,,,,,,,,,1,1,5,0,,0,,
SDN,,,,,,,,,,1,1,1,,,0,0,0
SOM,,,,,,,,,,1,1,1,0,0,0,0,0
ERI,,,,,,,,,,0,0,,,,,,
NER,,,,,,,,,,1,1,0,,,,,
,,,,,,,,,,0,0,0,,1,1,5,6
HRV,,,,,,,,,,0,0,,,,,,
MDG,,,,,,,,,,0,1,0,0,3,0,3,*
MYS,,,,,,,,,,0,0,,,,,,
PER,,,,,,,,,,0,1,0,0,1,0,1,*
,,,,,,,,,,0,,,,,,,
ZWE,,,,,,,,,,0,1,0,0,6,1,1,*
BTN,,,,,,,,,,0,,,,,,,
NPL,,,,,,,,,,0,0,,0,,8,57,
BDI,,,,,,,,,,1,1,1,0,,0,2,0
BEN,,,,,,,,,,2,1,6,1,5,4,4,
COL,,,,,,,,,,3,2,7,12,16,24,24,
MEX,,,,,,,,,,0,1,0,,,,,
NAM,,,,,,,,,,0,4,5,5,5,0,,
BGD,,,,,,,,,,0,0,0,0,,,,
ARM,,,,,,,,,,0,,,,,0,0,0
DEU,,,,,,,,,,0,,,,,,,*
ERI,,,,,,,,,,1,0,3,8,1,1,0,6
PHL,,,,,,,,,,1,1,0,,,,,
TUN,,,,,,,,,,0,1,2,7,32,1,,*
UZB,,,,,,,,,,0,0,0,,,0,0,0
CUB,,,,,,,,,,6,4,6,11,8,0,3,*
LKA,,,,,,,,,,6,0,,,2,1,0,*
GUY,,,,,,,,,,4,4,0,0,,,,
IDN,,,,,,,,,,0,,,,,,1,
JAM,,,,,,,,,,1,0,,,,,,
MEX,,,,,,,,,,1,1,0,0,,,,
NLD,,,,,,,,,,1,0,0,,,,,
ZMB,,,,,,,,,,6,6,,,,,1,
GIN,,,,,,,,,,13,9,1,0,,8,11,12
MLI,,,,,,,,,,0,,,2,4,5,8,10
THA,,,,,,,,,,0,,0,2,1,0,1,*
EGY,,,,,,,,,,0,1,0,,,0,0,0
MDG,,,,,,,,,,0,,,,,,,
TJK,,,,,,,,,,5,0,,,,,,*
BOL,,,,,,,,,,1,10,7,10,12,9,7,8
CHE,,,,,,,,,,0,,,,,,,
,,,,,,,,,,0,3,2,2,4,4,,
AFG,,,,,,,,,,1,0,,33,123,131,133,133
IND,,,,,,,,,,7,0,,,5,4,4,*
SOM,,,,,,,,,,1,0,4,2,7,8,8,8
UGA,,,,,,,,,,1,2,3,3,3,1,1,*
,,,,,,,,,,2,0,,,,0,0,0
YEM,,,,,,,,,,16,3,3,3,13,16,15,15
BRA,,,,,,,,,,0,,,,,,,
COD,,,,,,,,,,1,0,2,0,,,,
SEN,,,,,,,,,,1,1,0,1,0,0,0,0
BWA,,,,,,,,,,0,,,,,0,,0
,,,,,,,,,,0,,,1,0,1,0,*
MNE,,,,,,,,,,0,13,0,38,9,11,19,11
PLW,,,,,,,,,,0,,,,,1,1,0
STP,,,,,,,,,,0,,,,,0,,
UGA,,,,,,,,,,0,,,,,,,
IDN,,,,,,,,,,1,,,,,1,2,*
LKA,,,,,,,,,,1,1,,,,,,
NGA,,,,,,,,,,0,,,,,,,
TJK,,,,,,,,,,10,0,,,,,,
BLZ,,,,,,,,,,1,0,,,,,,
COG,,,,,,,,,,3,34,28,27,31,27,17,49
EGY,,,,,,,,,,0,0,4,0,0,0,0,0
IRN,,,,,,,,,,4,1,1,0,1,1,0,
JAM,,,,,,,,,,0,,,1,1,1,1,*
OMN,,,,,,,,,,1,0,,,,,1,
NGA,,,,,,,,,,1,0,,,,,,
CUB,,,,,,,,,,0,,,1,1,1,,
IDN,,,,,,,,,,1,0,,1,2,5,7,*
TCD,,,,,,,,,,1,1,0,,,0,0,0
TUN,,,,,,,,,,1,0,1,1,1,16,27,29
,,,,,,,,,,339,288,147,215,204,382,,
DMA,,,,,,,,,,1,1,,,,,,
PAK,,,,,,,,,,1,8,12,12,12,12,12,12
CMR,,,,,,,,,,1,0,,1,2,1,8,6
GNB,,,,,,,,,,1,1,1,1,1,1,1,*
HTI,,,,,,,,,,0,,,,,,,
AFG,,,,,,,,,,0,,0,0,0,0,7,7
AZE,,,,,,,,,,0,,1,0,,,,*
BEL,,,,,,,,,,0,,,,,,,
ERI,,,,,,,,,,16,9,12,0,,4,4,*
ETH,,,,,,,,,,0,,1,0,,0,1,0
KGZ,,,,,,,,,,0,,0,,0,0,,
LVA,,,,,,,,,,0,,,,,,,
NGA,,,,,,,,,,1,1,0,0,,1,,
PAK,,,,,,,,,,0,,,0,,1,1,*
SYR,,,,,,,,,,0,0,,0,0,0,1,0
TKM,,,,,,,,,,0,,2,0,,,,
TUN,,,,,,,,,,0,,,,0,,1,
,,,,,,,,,,0,,0,0,0,0,1,
SOM,,,,,,,,,,0,,,0,1,0,0,0
ARG,,,,,,,,,,0,,,,,,,
CRI,,,,,,,,,,0,,,,,0,0,0
GAB,,,,,,,,,,1,0,,,1,1,1,9
GNB,,,,,,,,,,1,1,0,0,2,2,1,*
GNQ,,,,,,,,,,0,1,0,0,2,2,,
KAZ,,,,,,,,,,0,0,0,0,6,0,1,*
MEX,,,,,,,,,,52,5,0,,0,,,0
PAK,,,,,,,,,,0,,0,0,4,4,4,*
SYR,,,,,,,,,,0,15,0,0,23,60,591,334
USA,,,,,,,,,,0,,0,,,,,*
,,,,,,,,,,1,1,0,,,1,4,18
ZAF,,,,,,,,,,0,,,,,,,
COD,,,,,,,,,,2,4,30,22,16,1,6,0
ERI,,,,,,,,,,0,,,,1,0,0,0
IRN,,,,,,,,,,3,3,14,5,1,0,0,0
,,,,,,,,,,1,0,1,1,1,1,,
AFG,,,,,,,,,,1,1,1,1,1,1,1,
IRQ,,,,,,,,,,1,0,,,,,,
NPL,,,,,,,,,,0,,,,,,,
PAK,,,,,,,,,,0,1,1,0,,,,
SYR,,,,,,,,,,4,4,4,1,1,1,1,*
BGD,,,,,,,,,,4,2,0,1,9,3,3,7
BWA,,,,,,,,,,0,0,,,,0,,
IND,,,,,,,,,,0,0,,,,,,
YEM,,,,,,,,,,0,0,1,0,3,4,0,0
ZMB,,,,,,,,,,1,0,,0,4,0,,
ESP,,,,,,,,,,0,,,,,,,
IDN,,,,,,,,,,0,,,,,,,
NPL,,,,,,,,,,0,0,,,,0,0,0
AUT,,,,,,,,,,0,,,,,,,
IRL,,,,,,,,,,0,,,,,,,
PAN,,,,,,,,,,0,1,1,,,,0,*
SAU,,,,,,,,,,0,,,,,,,
TKM,,,,,,,,,,0,,,,,,,
UGA,,,,,,,,,,0,0,,0,,,,
URY,,,,,,,,,,0,,,,,,,*
ZAF,,,,,,,,,,0,0,0,,,0,0,0
BIH,,,,,,,,,,0,4,0,,,0,0,0
CZE,,,,,,,,,,1,0,,,,,,
ETH,,,,,,,,,,0,,,,0,,,
TUN,,,,,,,,,,1,1,1,0,1,1,,
ETH,,,,,,,,,,0,0,,,,,,
COM,,,,,,,,,,2,2,2,0,,0,5,*
HRV,,,,,,,,,,0,0,,,,2,0,*
ITA,,,,,,,,,,0,,,,,,,
KEN,,,,,,,,,,0,,,,,,,
RUS,,,,,,,,,,0,0,,0,0,0,,
IRN,,,,,,,,,,1,0,,,,,,
PAK,,,,,,,,,,1,0,0,,,,,
GIN,,,,,,,,,,3,6,6,6,6,6,6,*
GHA,,,,,,,,,,0,1,,,,,5,5
GMB,,,,,,,,,,0,,1,1,2,0,1,*
GNB,,,,,,,,,,0,,,,,0,,*
MAR,,,,,,,,,,0,,,,,,,
SOM,,,,,,,,,,0,,,1,0,0,0,*
SLE,,,,,,,,,,5,5,5,4,0,,,
GHA,,,,,,,,,,1,0,,,,,,
GIN,,,,,,,,,,2,2,1,1,1,0,1,*
NGA,,,,,,,,,,0,,,8,8,1,11,0
BEN,,,,,,,,,,1,1,0,,,,1,0
BGD,,,,,,,,,,0,0,0,0,,,,
HND,,,,,,,,,,1,3,0,1,1,11,26,35
IRN,,,,,,,,,,0,,3,6,0,,,
AUS,,,,,,,,,,1,0,0,,,0,1,
MDG,,,,,,,,,,0,,0,0,,,,*
AUS,,,,,,,,,,0,0,0,,,0,,
BOL,,,,,,,,,,0,1,0,,,,,
CYP,,,,,,,,,,0,,,,0,0,,
ECU,,,,,,,,,,5,0,,,,0,,*
HND,,,,,,,,,,3,2,0,,,4,1,*
JAM,,,,,,,,,,0,,0,,0,0,,
MWI,,,,,,,,,,1,0,1,0,0,0,0,*
NOR,,,,,,,,,,1,0,,1,1,,,
,,,,,,,,,,0,,,,,,,
GIN,,,,,,,,,,0,,,,,0,,
GNB,,,,,,,,,,0,,,,,,,
KIR,,,,,,,,,,1,3,3,10,,1,,
MDG,,,,,,,,,,4,0,,,,0,0,0
TKM,,,,,,,,,,0,,,,,,,
AFG,,,,,,,,,,4,3,4,2,9,8,8,8
BGD,,,,,,,,,,28,29,20,15,20,18,18,18
CMR,,,,,,,,,,4,3,3,7,6,5,6,6
NPL,,,,,,,,,,16,16,16,16,16,16,16,16
PSE,,,,,,,,,,1,1,1,1,1,1,1,*
ZWE,,,,,,,,,,2,0,0,0,,0,0,0
CHL,,,,,,,,,,2,0,0,0,,0,,
COD,,,,,,,,,,1,1,1,1,1,1,2,*
NAM,,,,,,,,,,1,1,1,0,,0,0,0
RUS,,,,,,,,,,0,,,,0,1,2,*
,,,,,,,,,,1,1,0,2,3,2,2,*
MMR,,,,,,,,,,1,0,,,,,,
BGD,,,,,,,,,,0,,,,,55,5,0
USA,,,,,,,,,,0,,,,,,,
HRV,,,,,,,,,,1,0,,0,0,0,,
PHL,,,,,,,,,,0,1,0,0,,0,0,0
USA,,,,,,,,,,1,1,0,2,1,0,0,0
YEM,,,,,,,,,,1,1,0,,,,0,0
BEN,,,,,,,,,,0,,1,1,1,1,1,
GMB,,,,,,,,,,0,0,2,0,0,0,4,7
MDA,,,,,,,,,,0,,,,,,,
MRT,,,,,,,,,,2,1,2,1,0,0,1,*
SLV,,,,,,,,,,0,,,0,,,,
TCD,,,,,,,,,,0,,,,,,,
TGO,,,,,,,,,,0,0,,1,2,3,3,*
ZWE,,,,,,,,,,0,0,,,,0,0,0
BRA,,,,,,,,,,1,0,0,0,,,1,
IRQ,,,,,,,,,,0,,,,,0,0,0
BDI,,,,,,,,,,0,,0,,0,0,1,0
FRA,,,,,,,,,,0,,,,,,,
HND,,,,,,,,,,0,,,,,,,
HRV,,,,,,,,,,0,,,,,0,0,0
CMR,,,,,,,,,,0,8,16,2,1,1,,0
KEN,,,,,,,,,,1,0,,0,,0,0,0
MAR,,,,,,,,,,0,,,,,,,
TUN,,,,,,,,,,0,,,,,,,
SOM,,,,,,,,,,1,0,,,,,,
BGD,,,,,,,,,,25,0,0,0,0,,,
GNQ,,,,,,,,,,0,,,,,,,
HND,,,,,,,,,,7,18,4,0,4,0,0,0
IRN,,,,,,,,,,1,0,,,,0,0,0
NPL,,,,,,,,,,22,0,,,,,,
SOM,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,0,,,,,,,
KEN,,,,,,,,,,2,2,1,1,0,,,*
BIH,,,,,,,,,,1,2,0,,0,0,0,0
BLR,,,,,,,,,,0,,,,,,,
CRI,,,,,,,,,,0,,0,,,,,
HRV,,,,,,,,,,1,1,1,1,1,1,1,*
LBY,,,,,,,,,,0,,3,1,1,0,0,0
MAR,,,,,,,,,,1,1,0,2,2,0,,
,,,,,,,,,,1,0,,,,0,0,0
BIH,,,,,,,,,,0,,,,,0,,
COL,,,,,,,,,,0,0,,,,,,
IDN,,,,,,,,,,0,,,,,,,
MNE,,,,,,,,,,0,,,,,,,
ERI,,,,,,,,,,0,1,1,4,0,0,0,*
NZL,,,,,,,,,,0,,,,0,0,0,0
ERI,,,,,,,,,,2,,,1,3,2,1,*
SDN,,,,,,,,,,1,,,1,1,0,,*
TZA,,,,,,,,,,1,,,,,0,0,0
BGR,,,,,,,,,,1,0,,,,0,,
DEU,,,,,,,,,,1,0,,,,,,
UKR,,,,,,,,,,1,0,,,,1,1,*
GAB,,,,,,,,,,0,,,,,,,0
ARE,,,,,,,,,,1,0,,1,1,1,0,
RUS,,,,,,,,,,0,,,1,0,4,5,10
SAU,,,,,,,,,,1,1,0,0,,0,0,0
TZA,,,,,,,,,,0,,,,,1,0,*
ZAF,,,,,,,,,,0,,,,,0,,
AFG,,,,,,,,,,1,0,,,,,,
SOM,,,,,,,,,,1,0,,,,,,
BEN,,,,,,,,,,3,2,0,,,,,
COL,,,,,,,,,,1,1,4,0,,8,5,*
NAM,,,,,,,,,,1,0,,,,,,
NER,,,,,,,,,,3,2,0,,,,,
IRN,,,,,,,,,,0,,,,,0,0,0
MLI,,,,,,,,,,0,0,1,15,5,1,0,0
GAB,,,,,,,,,,1,0,0,,3,3,7,*
GMB,,,,,,,,,,1,1,0,,4,5,6,7
GNB,,,,,,,,,,1,0,,,1,0,,
IDN,,,,,,,,,,0,0,,,,1,1,*
MNG,,,,,,,,,,0,1,0,2,36,76,65,66
TCD,,,,,,,,,,0,0,1,1,2,2,2,*
BGD,,,,,,,,,,3,7,7,8,5,0,,
CMR,,,,,,,,,,1,0,,,,,,
COG,,,,,,,,,,1,1,1,1,0,0,1,0
KWT,,,,,,,,,,1,1,1,1,0,,,
DEU,,,,,,,,,,1,1,,0,,,,
EST,,,,,,,,,,1,1,,,,,,
GBR,,,,,,,,,,1,1,,,,,,
KWT,,,,,,,,,,0,,,,0,,,
LTU,,,,,,,,,,3,3,3,3,3,4,4,*
SAU,,,,,,,,,,5,5,,,,0,0,0
,,,,,,,,,,1,1,1,0,,,,
USA,,,,,,,,,,0,,0,,,,,
HTI,,,,,,,,,,1,0,,,,,,
ARG,,,,,,,,,,2,2,2,2,2,2,2,
KEN,,,,,,,,,,1,1,1,1,1,1,1,
MEX,,,,,,,,,,1,1,2,1,1,1,1,
LKA,,,,,,,,,,6,,,,,0,,
ARE,,,,,,,,,,1,1,1,1,0,,,
IND,,,,,,,,,,1,1,1,1,0,,,*
TUN,,,,,,,,,,2,2,0,,,,2,*
TUR,,,,,,,,,,2,2,2,0,,,,
ERI,,,,,,,,,,0,2,2,2,0,0,4,6
MRT,,,,,,,,,,1,0,,,,,,
NER,,,,,,,,,,0,,,,,,,
ZAF,,,,,,,,,,0,,,,,0,0,0
COL,,,,,,,,,,,1,3,5,4,4,0,*
,,,,,,,,,,,133,,,,,,
BIH,,,,,,,,,,,0,,,0,,,
LBY,,,,,,,,,,,0,,,,,,
SAU,,,,,,,,,,,0,,,,,,
BFA,,,,,,,,,,,1,,0,,0,,*
BWA,,,,,,,,,,,1,1,0,,0,,
CRI,,,,,,,,,,,1,0,0,,0,0,*
GUY,,,,,,,,,,,1,1,1,2,1,,*
,,,,,,,,,,,0,,,,0,,
MMR,,,,,,,,,,,1,,1,0,0,,
NAM,,,,,,,,,,,1,0,,,0,,
SGP,,,,,,,,,,,0,,1,1,0,,*
SLV,,,,,,,,,,,4,12,14,6,4,5,17
ZMB,,,,,,,,,,,1,,,,0,,*
ZWE,,,,,,,,,,,2,2,1,0,0,0,0
CHN,,,,,,,,,,,2,1,0,,,,
MLI,,,,,,,,,,,0,1,1,1,1,1,
NGA,,,,,,,,,,,1,0,,,,0,0
CUB,,,,,,,,,,,0,,,,,,
BRN,,,,,,,,,,,1,0,,,,3,*
COK,,,,,,,,,,,1,0,,0,,,
ESH,,,,,,,,,,,0,,,2,0,,
,,,,,,,,,,,0,1,1,,2,3,
CHE,,,,,,,,,,,0,,,,,,
JAM,,,,,,,,,,,1,0,0,1,2,2,*
KWT,,,,,,,,,,,1,1,0,,0,7,10
MDV,,,,,,,,,,,1,0,,,,,
AGO,,,,,,,,,,,1,1,9,9,9,9,*
MDG,,,,,,,,,,,0,,,,,,
ARG,,,,,,,,,,,0,3,4,0,0,1,*
CRI,,,,,,,,,,,0,,1,1,0,,
GRC,,,,,,,,,,,0,,,,0,3,
IRL,,,,,,,,,,,0,0,,,,,
ITA,,,,,,,,,,,0,0,0,0,0,,
,,,,,,,,,,,0,,,1,0,0,0
MLT,,,,,,,,,,,0,,,,,,
ERI,,,,,,,,,,,1,,,,,,
BOL,,,,,,,,,,,0,0,,,,,
COM,,,,,,,,,,,2,,,,1,,
MMR,,,,,,,,,,,0,,0,5,9,19,5
ZMB,,,,,,,,,,,0,1,0,,0,0,0
EGY,,,,,,,,,,,2,2,2,5,3,3,*
ETH,,,,,,,,,,,1,1,1,0,,,
CUB,,,,,,,,,,,1,2,1,8,9,10,12
HTI,,,,,,,,,,,8,8,8,4,4,4,*
HTI,,,,,,,,,,,1,0,,,,,
KAZ,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,1,,0,,0,0,0
NPL,,,,,,,,,,,1,1,1,1,0,,
HND,,,,,,,,,,,3,0,,,0,0,0
SYR,,,,,,,,,,,2,,,0,0,0,0
,,,,,,,,,,,0,,,,1,1,*
USA,,,,,,,,,,,7,2,2,3,4,9,14
VNM,,,,,,,,,,,0,0,,,0,0,0
ABW,,,,,,,,,,,1,0,,,0,,
CRI,,,,,,,,,,,0,,,,0,,
DOM,,,,,,,,,,,0,,2,0,0,0,0
NIC,,,,,,,,,,,1,0,,2,4,3,*
PSE,,,,,,,,,,,117,118,148,1,1,,
CMR,,,,,,,,,,,0,,,,0,1,*
IRQ,,,,,,,,,,,1,0,1,0,0,0,*
SEN,,,,,,,,,,,5,4,4,4,6,4,*
UKR,,,,,,,,,,,1,1,1,2,6,8,*
GIN,,,,,,,,,,,0,,,8,32,28,18
PHL,,,,,,,,,,,0,,,2,2,17,5
BEN,,,,,,,,,,,0,2,1,3,1,,
DNK,,,,,,,,,,,1,1,0,,,,
GMB,,,,,,,,,,,0,18,3,22,12,5,*
JOR,,,,,,,,,,,0,,,,,,
LKA,,,,,,,,,,,6,6,0,,,,
SOM,,,,,,,,,,,1,2,0,,0,,
SVK,,,,,,,,,,,0,,,,,,
ERI,,,,,,,,,,,1,1,0,2,2,,0
GMB,,,,,,,,,,,2,1,2,0,,,
MOZ,,,,,,,,,,,6,0,0,,,,
BEL,,,,,,,,,,,0,,,,,,
CMR,,,,,,,,,,,8,2,2,2,2,3,*
ESH,,,,,,,,,,,0,,,,,,
ETH,,,,,,,,,,,3,0,,1,1,,
GAB,,,,,,,,,,,1,,,,,,
MLI,,,,,,,,,,,1,1,1,1,1,14,16
PSE,,,,,,,,,,,1,0,,,,,
TGO,,,,,,,,,,,6,1,1,1,1,1,
AFG,,,,,,,,,,,5,7,0,,0,5,0
BGD,,,,,,,,,,,0,,,2,0,,
COD,,,,,,,,,,,0,,0,,0,,
PAK,,,,,,,,,,,0,,1,1,10,0,5
USA,,,,,,,,,,,1,2,0,1,1,,
CZE,,,,,,,,,,,0,,,,0,,
ESP,,,,,,,,,,,0,,,,4,5,*
PAK,,,,,,,,,,,0,0,,,1,10,12
TJK,,,,,,,,,,,0,,,,,,
ZWE,,,,,,,,,,,0,0,1,2,2,3,*
COL,,,,,,,,,,,2,5,2,14,13,15,36
JAM,,,,,,,,,,,0,1,0,,0,0,0
,,,,,,,,,,,0,,0,2,1,0,*
JAM,,,,,,,,,,,1,1,0,,,,
MNE,,,,,,,,,,,0,,0,,,,
NER,,,,,,,,,,,1,1,0,,,,
,,,,,,,,,,,0,,,,,,
CZE,,,,,,,,,,,0,,,0,,,
DEU,,,,,,,,,,,0,,,,,,
KEN,,,,,,,,,,,3,,,,,,
KHM,,,,,,,,,,,3,0,,,0,,
ARE,,,,,,,,,,,3,1,2,1,1,6,11
,,,,,,,,,,,0,,1,1,0,1,*
GTM,,,,,,,,,,,1,2,9,8,13,4,6
LIE,,,,,,,,,,,1,0,,,,,
NIC,,,,,,,,,,,0,,0,2,1,3,*
OMN,,,,,,,,,,,1,0,,0,1,3,*
DEU,,,,,,,,,,,1,0,0,1,,,
ESP,,,,,,,,,,,1,0,0,,0,,
IRL,,,,,,,,,,,1,0,,,,,
CUB,,,,,,,,,,,2,2,7,16,16,17,19
IRQ,,,,,,,,,,,6,7,0,,0,1,*
SDN,,,,,,,,,,,0,,,,,,
SYR,,,,,,,,,,,1,1,0,,1,1,5
CHE,,,,,,,,,,,0,,0,,,,
GAB,,,,,,,,,,,2,1,2,0,0,,
BLR,,,,,,,,,,,1,0,,,0,0,
JPN,,,,,,,,,,,0,,,,,,
KEN,,,,,,,,,,,0,,,0,,,
MOZ,,,,,,,,,,,1,0,,,,,
PRI,,,,,,,,,,,0,,,,,,
GHA,,,,,,,,,,,1,1,2,10,15,37,28
GMB,,,,,,,,,,,0,1,1,0,,3,*
PAK,,,,,,,,,,,2,2,2,2,1,1,*
COM,,,,,,,,,,,0,,0,0,0,,
ESH,,,,,,,,,,,7,0,10,16,30,25,15
MNE,,,,,,,,,,,0,,,,0,,
GMB,,,,,,,,,,,0,,,,,1,0
SDN,,,,,,,,,,,0,,,3,18,4,*
TJK,,,,,,,,,,,0,,,,0,0,0
DNK,,,,,,,,,,,0,,,,0,,
DOM,,,,,,,,,,,0,,,1,2,0,0
GBR,,,,,,,,,,,1,1,0,,1,,
IDN,,,,,,,,,,,1,1,0,1,0,0,9
KWT,,,,,,,,,,,0,,,0,3,2,*
PRK,,,,,,,,,,,2,,0,0,0,0,0
PRT,,,,,,,,,,,1,,,,,,
SLV,,,,,,,,,,,0,,1,5,2,5,0
THA,,,,,,,,,,,0,,,3,1,0,0
VNM,,,,,,,,,,,0,4,2,12,0,3,0
PAK,,,,,,,,,,,1,0,,1,0,0,0
BHS,,,,,,,,,,,0,1,1,0,0,,*
EST,,,,,,,,,,,0,1,1,0,0,1,
ITA,,,,,,,,,,,0,1,2,0,1,1,*
,,,,,,,,,,,0,0,1,1,1,3,*
MDG,,,,,,,,,,,0,0,0,0,2,,0
MNE,,,,,,,,,,,0,,,,1,,
PAN,,,,,,,,,,,0,0,,,0,0,0
STP,,,,,,,,,,,0,,,,0,,
SWE,,,,,,,,,,,0,0,,,0,,*
,,,,,,,,,,,4,2,0,,0,25,*
CMR,,,,,,,,,,,1,0,1,0,,14,*
CUB,,,,,,,,,,,1,1,0,,0,,
BGD,,,,,,,,,,,1,0,,,,,
CMR,,,,,,,,,,,1,0,1,1,1,1,
CYP,,,,,,,,,,,1,0,,,,,
EGY,,,,,,,,,,,2,0,,,,,
MRT,,,,,,,,,,,1,0,,,,,
