code3,typeName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ARM,Rodenticides,,,,,4,6,3,,,,,,,0.07,9.79,15.2,18.4,16,14.4,0,33.16,35.1,181.3,9.7,
AUS,Other Pesticides nes,250,250,311,335,295,359,467,481,458,500,469,458,373,454,508,481,503,,,,,,,,
AUS,Pesticides,17866,17866,22234,23899,21057,25598,31185,34091,37215,34200,33475,32710,26651,32418,36276,34310,35900,,,,,,,,
AUS,Insecticides,3999,3999,4977,5350,4713,5730,6214,7146,8638,8700,7493,7322,5966,7257,8120,7680,8036,,,,,,,,
AUS,Herbicides,12337,12337,15353,16502,14540,17675,22449,24245,25592,22000,23114,22586,18402,22384,25049,23691,24789,,,,,,,,
AUS,Fungicides&Bactericides,1280,1280,1593,1712,1509,1834,2055,2219,2527,3000,2399,2344,1910,2323,2599,2458,2572,,,,,,,,
AUS,Other Pesticides nes,250,250,311,335,295,359,467,481,458,500,469,458,373,454,508,481,503,,,,,,,,
AUT,Organo-Phosphates,,,,,,,,,,,,,,,,,,,,,,44.6,37.6,37.7,49.2
AUT,Carbamates Insecticides,,,,,,,,,,,,,,,,,,,,,,6.8,20,19,17.7
AUT,Pyrethroids,,,,,,,,,,,,,,,,,,,,,,6.3,8.6,8.9,11.8
AUT,Botanic.Produc&Biologic.,,,,,,,,,,,,,,,,,,,,,,2.4,2.2,6.7,3.3
AUT,Other Insecticides,,,,,,,,,,,,,,,,,,,,,,232.9,211.9,210.2,184.9
AUT,Mineral Oils,292,275,332,325,329,245,219,292,164,269,229.5,243.3,196.1,112,138.6,118.8,160.6,162.2,198.7,192.3,191.8,8.3,8.2,12.7,17.7
AUT,Phenoxy Hormone Products,,,,,,,,,,,,,,,,,,,,,,164,150.4,90,134.7
AUT,Triazines,,,,,,,,,,,,,,,,,,,,,,243.8,251.4,231.7,207.6
AUT,Amides,,,,,,,,,,,,,,,,,,,,,,242.6,250.7,274.7,229.4
AUT,Carbamates Herbicides,,,,,,,,,,,,,,,,,,,,,,20.8,22.7,24.3,23
AUT,Dinitroanilines,,,,,,,,,,,,,,,,,,,,,,,,64.3,71.6
AUT,Urea derivates,,,,,,,,,,,,,,,,,,,,,,45.3,90.2,61.1,71.6
AUT,Sulfonyl Ureas,,,,,,,,,,,,,,,,,,,,,,47.7,13.7,16.4,16.5
AUT,Bipiridils,,,,,,,,,,,,,,,,,,,,,,6.1,4.9,5.2,7.4
AUT,Uracil,,,,,,,,,,,,,,,,,,,,,,2.4,2.7,2.8,2
